// lista de projetos, vagas, requisitos e preferências dos alunos
// formato (código projeto, número de vagas, requisito mínimo de notas para vagas)

(P1, 3, 5)
(P2, 1, 5)
(P3, 2, 4)
(P4, 1, 3)
(P5, 2, 4)
(P6, 2, 5)
(P7, 3, 4)
(P8, 2, 5)
(P9, 2, 4)
(P10, 1, 4)
(P11, 1, 5)
(P12, 1, 5)
(P13, 3, 5)
(P14, 2, 3)
(P15, 2, 4)
(P16, 1, 4)
(P17, 4, 4)
(P18, 3, 3)
(P19, 2, 5)
(P20, 2, 4)
(P21, 2, 3)
(P22, 1, 4)
(P23, 1, 3)
(P24, 1, 3)
(P25, 1, 4)
(P26, 2, 3)
(P27, 2, 5)
(P28, 1, 4)
(P29, 1, 4)
(P30, 1, 3)
(P31, 2, 5)
(P32, 2, 4)
(P33, 2, 4)
(P34, 1, 3)
(P35, 2, 3)
(P36, 2, 4)
(P37, 1, 5)
(P38, 1, 5)
(P39, 1, 5)
(P40, 3, 4)
(P41, 3, 4)
(P42, 3, 5)
(P43, 1, 4)
(P44, 1, 5)
(P45, 1, 4)
(P46, 1, 5)
(P47, 2, 4)
(P48, 1, 5)
(P49, 2, 4)
(P50, 3, 5)

//alunos, preferências de projetos e notas individuais dos alunos 
// formato (código aluno):(projetos preferenciais na ordem) (Nota do aluno)
(A1):(P1, P30, P50) (5)
(A2):(P1, P30, P50) (5)
(A3):(P30, P34, P35) (3)
(A4):(P2, P3, P5) (4)
(A5):(P4, P28, P34) (3)
(A6):(P40, P9, P10) (4)
(A7):(P41, P31, P38) (4)
(A8):(P6, P27, P8) (5)
(A9):(P7, P29, P9) (3)
(A10):(P8, P43, P10) (4)
(A11):(P12, P1, P1) (5)
(A12):(P2, P20, P4) (5)
(A13):(P3, P30, P45) (3)
(A14):(P4, P40, P15) (4)
(A15):(P5, P48, P24) (3)
(A16):(P6, P19, P40) (4)
(A17):(P7, P21, P18) (4)
(A18):(P8, P47, P28) (5)
(A19):(P9, P19, P49) (3)
(A20):(P10, P34, P5) (4)
(A21):(P7, P17, P27) (4)
(A22):(P18, P27, P8) (4)
(A23):(P9, P29, P39) (4)
(A24):(P10, P20, P30) (4)
(A25):(P50, P4, P34) (4)
(A26):(P40, P9, P10) (4)
(A27):(P41, P31, P38) (4)
(A28):(P6, P27, P8) (4)
(A29):(P7, P29, P9) (4)
(A30):(P8, P43, P10) (4)
(A31):(P12, P2, P1) (5)
(A32):(P2, P20, P4) (5)
(A33):(P3, P30, P45) (5)
(A34):(P4, P40, P15) (5)
(A35):(P5, P48, P24) (5)
(A36):(P6, P19, P40) (3)
(A37):(P7, P21, P18) (3)
(A38):(P8, P47, P28) (3)
(A39):(P9, P19, P49) (3)
(A40):(P10, P34, P5) (3)
(A41):(P14, P20, P24) (4)
(A42):(P16, P12, P18) (4)
(A43):(P6, P14, P5) (4)
(A44):(P12, P3, P15) (4)
(A45):(P11, P38, P4) (4)
(A46):(P43, P7, P1) (4)
(A47):(P41, P3, P8) (4)
(A48):(P26, P7, P28) (4)
(A49):(P37, P29, P9) (4)
(A50):(P38, P43, P10) (4)
(A51):(P32, P1, P14) (4)
(A52):(P32, P20, P4) (4)
(A53):(P33, P30, P45) (4)
(A54):(P34, P40, P15) (4)
(A55):(P35, P48, P24) (4)
(A56):(P36, P19, P40) (4)
(A57):(P37, P21, P18) (4)
(A58):(P38, P47, P28) (4)
(A59):(P39, P19, P49) (4)
(A60):(P30, P34, P5) (4)
(A61):(P37, P17, P27) (4)
(A62):(P38, P27, P8) (4)
(A63):(P39, P29, P39) (4)
(A64):(P30, P20, P30) (4)
(A65):(P30, P4, P34) (4)
(A66):(P30, P9, P10) (4)
(A67):(P31, P31, P38) (4)
(A68):(P36, P27, P8) (4)
(A69):(P37, P29, P9) (4)
(A70):(P38, P43, P10) (4)
(A71):(P32, P21, P31) (4)
(A72):(P32, P20, P4) (4)
(A73):(P33, P30, P45) (4)
(A74):(P34, P40, P15) (4)
(A75):(P35, P48, P24) (4)
(A76):(P36, P19, P40) (3)
(A77):(P37, P21, P18) (3)
(A78):(P38, P47, P28) (3)
(A79):(P39, P19, P49) (3)
(A80):(P40, P34, P5) (3)
(A81):(P27, P17, P37) (5)
(A82):(P2, P27, P44) (5)
(A83):(P27, P30, P5) (5)
(A84):(P4, P40, P25) (5)
(A85):(P5, P48, P34) (5)
(A86):(P27, P19, P10) (3)
(A87):(P7, P21, P8) (3)
(A88):(P8, P47, P48) (3)
(A89):(P19, P19, P9) (3)
(A90):(P10, P34, P25) (3)
(A91):(P24, P20, P34) (4)
(A92):(P36, P12, P48) (4)
(A93):(P26, P14, P25) (4)
(A94):(P13, P3, P45) (4)
(A95):(P11, P13, P24) (4)
(A96):(P43, P47, P31) (4)
(A97):(P41, P13, P38) (4)
(A98):(P26, P47, P18) (4)
(A99):(P37, P9, P39) (4)
(A100):(P38, P3, P20) (4)
(A101):(P18, P38, P28) (4)
(A102):(P10, P40, P50) (4)
(A103):(P3, P23, P33) (3)
(A104):(P2, P13, P25) (4)
(A105):(P4, P8, P34) (3)
(A106):(P40, P39, P10) (4)
(A107):(P41, P1, P38) (5)
(A108):(P6, P27, P8) (4)
(A109):(P7, P22, P9) (3)
(A110):(P8, P33, P10) (4)
(A111):(P12, P34, P1) (4)
(A112):(P42, P20, P4) (3)
(A113):(P43, P30, P45) (3)
(A114):(P24, P40, P15) (4)
(A115):(P4, P48, P24) (3)
(A116):(P46, P19, P40) (4)
(A117):(P7, P21, P18) (5)
(A118):(P28, P47, P28) (3)
(A119):(P19, P19, P49) (3)
(A120):(P1, P34, P5) (3)
(A121):(P7, P17, P27) (3)
(A122):(P18, P27, P8) (3)
(A123):(P49, P29, P39) (3)
(A124):(P11, P20, P30) (3)
(A125):(P5, P4, P34) (3)
(A126):(P8, P9, P10) (3)
(A127):(P28, P31, P38) (5)
(A128):(P36, P27, P8) (4)
(A129):(P7, P29, P4) (4)
(A130):(P8, P43, P20) (4)
(A131):(P12, P2, P14) (4)
(A132):(P2, P20, P24) (4)
(A133):(P30, P30, P35) (4)
(A134):(P4, P40, P25) (4)
(A135):(P15, P48, P26) (4)
(A136):(P46, P19, P42) (3)
(A137):(P37, P21, P28) (5)
(A138):(P8, P47, P28) (3)
(A139):(P9, P19, P49) (3)
(A140):(P30, P34, P5) (3)
(A141):(P24, P20, P24) (4)
(A142):(P26, P12, P18) (4)
(A143):(P26, P14, P5) (4)
(A144):(P22, P3, P15) (4)
(A145):(P21, P38, P4) (4)
(A146):(P23, P7, P1) (4)
(A147):(P21, P3, P8) (5)
(A148):(P6, P7, P28) (4)
(A149):(P37, P29, P9) (4)
(A150):(P48, P43, P10) (4)
(A151):(P42, P1, P14) (4)
(A152):(P42, P20, P4) (4)
(A153):(P43, P30, P45) (4)
(A154):(P44, P40, P15) (4)
(A155):(P45, P48, P24) (4)
(A156):(P46, P19, P40) (4)
(A157):(P37, P21, P18) (5)
(A158):(P38, P47, P28) (4)
(A159):(P39, P19, P49) (4)
(A160):(P30, P34, P5) (4)
(A161):(P37, P17, P27) (4)
(A162):(P38, P27, P8) (4)
(A163):(P39, P29, P39) (4)
(A164):(P30, P20, P30) (4)
(A165):(P30, P4, P34) (4)
(A166):(P30, P9, P10) (4)
(A167):(P31, P31, P38) (5)
(A168):(P36, P27, P8) (4)
(A169):(P37, P29, P9) (4)
(A170):(P38, P43, P10) (4)
(A171):(P32, P21, P31) (4)
(A172):(P32, P20, P4) (4)
(A173):(P33, P30, P45) (4)
(A174):(P34, P40, P15) (4)
(A175):(P35, P48, P24) (4)
(A176):(P36, P19, P40) (3)
(A177):(P37, P21, P18)(5)
(A178):(P18, P47, P28) (3)
(A179):(P19, P6, P49) (3)
(A180):(P40, P34, P5) (3)
(A181):(P27, P17, P37) (4)
(A182):(P2, P27, P44) (4)
(A183):(P27, P30, P5) (4)
(A184):(P4, P40, P25) (4)
(A185):(P5, P48, P34) (4)
(A186):(P27, P16, P10) (3)
(A187):(P7, P14, P8) (5)
(A188):(P8, P27, P48) (5)
(A189):(P19, P29, P9) (3)
(A190):(P10, P24, P25) (3)
(A191):(P24, P22, P34) (4)
(A192):(P36, P22, P48) (4)
(A193):(P26, P24, P25) (4)
(A194):(P13, P30, P45) (4)
(A195):(P11, P23, P24) (4)
(A196):(P43, P27, P31) (4)
(A197):(P41, P23, P38) (5)
(A198):(P26, P27, P18) (4)
(A199):(P37, P13, P39) (4)
(A200):(P38, P13, P20) (4)
